,Date,Open,High,Low,Close,Adj Close,Volume
987,2013-12-20,4360.0,4393.0,4278.5,4315.350098,4216.0625,9804.0
988,2013-12-23,4358.649902,4390.600098,4330.0,4347.399902,4247.374022999999,1584.0
989,2013-12-24,4379.0,4408.0,4350.0,4386.149902,4285.233886999999,1331.0
990,2013-12-26,4370.600098,4449.899902,4369.0,4401.5,4300.22998,42503.0
991,2013-12-27,4410.0,4445.0,4339.950195,4399.100098,4297.885742,5669.0
992,2013-12-30,4444.0,4444.0,4311.350098,4350.649902,4250.549316,6004.0
993,2013-12-31,4368.700195,4400.0,4277.700195,4342.200195,4242.293945,7594.0
994,2014-01-01,4340.0,4361.5,4311.049805,4344.549805,4244.59082,1041.0
995,2014-01-02,4360.700195,4410.100098,4349.950195,4374.149902,4273.509765999999,14506.0
996,2014-01-03,4375.0,4420.0,4352.399902,4405.200195,4303.845215,5005.0
997,2014-01-06,4400.0,4483.950195,4370.049805,4459.850098,4357.23877,97536.0
998,2014-01-07,4426.700195,4465.0,4356.0,4394.850098,4293.733886999999,4855.0
999,2014-01-08,4395.0,4526.799805,4394.950195,4509.950195,4406.186035,122019.0
1000,2014-01-09,4478.450195,4500.0,4440.950195,4484.450195,4381.271484000001,52909.0
1001,2014-01-10,4450.0,4525.0,4420.0,4489.600098,4386.303711,56362.0
1002,2014-01-13,4489.600098,4499.899902,4415.0,4455.450195,4352.938477000001,4828.0
1003,2014-01-14,4489.049805,4550.0,4439.5,4525.549805,4421.425781,14655.0
1004,2014-01-15,4531.049805,4549.799805,4489.950195,4527.299805,4423.135742,1557.0
1005,2014-01-16,4514.649902,4550.100098,4482.5,4493.799805,4390.40625,9526.0
1006,2014-01-17,4545.0,4545.0,4475.049805,4490.149902,4386.84082,1636.0
1007,2014-01-20,4489.899902,4500.0,4381.350098,4419.049805,4317.376953,16403.0
1008,2014-01-21,4438.950195,4500.0,4401.450195,4493.0,4389.625977000001,14782.0
1009,2014-01-22,4436.25,4480.0,4410.0,4441.299805,4339.114746,5567.0
1010,2014-01-23,4445.0,4479.899902,4430.0,4444.950195,4342.681152,1787.0
1011,2014-01-24,4385.75,4486.0,4380.0,4389.899902,4288.898438,5732.0
1012,2014-01-27,4351.0,4379.700195,4100.100098,4310.5,4211.324219,26330.0
1013,2014-01-28,4252.0,4399.0,4125.25,4313.25,4214.010254,9204.0
1014,2014-01-29,4266.0,4442.899902,4254.100098,4402.5,4301.208496,11951.0
1015,2014-01-30,4261.049805,4489.450195,4261.0,4369.899902,4269.35791,12017.0
1016,2014-01-31,4320.049805,4469.899902,4261.0,4436.700195,4344.5625,13606.0
1017,2014-02-03,4380.0,4460.0,4322.0,4391.950195,4300.743164,4741.0
1018,2014-02-04,4355.100098,4445.0,4307.649902,4322.350098,4232.587890999999,1148.0
1019,2014-02-05,4369.649902,4390.0,4309.950195,4338.299805,4248.205566,17263.0
1020,2014-02-06,4399.950195,4405.0,4300.0,4369.549805,4278.807617,14534.0
1021,2014-02-07,4402.600098,4435.0,4305.0,4344.649902,4254.424805,6291.0
1022,2014-02-10,4349.100098,4360.399902,4286.200195,4305.649902,4216.234863000001,1301.0
1023,2014-02-11,4365.0,4365.0,4210.799805,4261.25,4172.756348,2340.0
1024,2014-02-12,4266.0,4349.950195,4250.049805,4306.549805,4217.115234000001,1293.0
1025,2014-02-13,4395.0,4395.0,4282.5,4299.850098,4210.555176,3216.0
1026,2014-02-14,4267.0,4305.0,4225.0,4262.399902,4173.882813,11561.0
1027,2014-02-17,4251.799805,4305.0,4227.600098,4281.75,4192.830566,34857.0
1028,2014-02-18,4281.75,4290.049805,4259.0,4282.649902,4193.710938,46742.0
1029,2014-02-19,4290.0,4401.0,4272.600098,4377.799805,4286.88623,4308.0
1030,2014-02-20,4336.0,4395.0,4312.5,4373.450195,4282.626953,10170.0
1031,2014-02-21,4400.0,4573.0,4352.450195,4548.350098,4453.894531,23005.0
1032,2014-02-24,4572.299805,4825.0,4551.0,4786.75,4687.342772999999,11646.0
1033,2014-02-25,4798.950195,4838.899902,4652.0,4719.5,4621.490723,6893.0
1034,2014-02-26,4744.950195,4763.149902,4621.0,4695.850098,4598.331055,3418.0
1035,2014-02-28,4694.950195,4765.049805,4623.0,4688.5,4591.133301,22560.0
1036,2014-03-03,4688.549805,4749.0,4631.149902,4720.899902,4622.860352000001,1460.0
1037,2014-03-04,4674.0,4825.0,4673.450195,4772.25,4673.144531,58472.0
1038,2014-03-05,4874.049805,4874.399902,4780.0,4820.600098,4720.490723,41006.0
1039,2014-03-06,4838.200195,5080.0,4824.950195,4999.049805,4895.235352000001,71328.0
1040,2014-03-07,5089.0,5140.100098,5011.0,5118.950195,5012.644531,30702.0
1041,2014-03-10,5174.0,5209.899902,5120.0,5168.450195,5061.117676,10758.0
1042,2014-03-11,5215.0,5249.0,5130.0,5231.799805,5123.150879,15336.0
1043,2014-03-12,5209.950195,5270.0,5130.0,5247.200195,5138.231445,4828.0
1044,2014-03-13,5229.0,5262.049805,5001.0,5093.149902,4987.379395,18204.0
1045,2014-03-14,5100.0,5150.0,5091.0,5103.25,4997.269531,1134.0
1046,2014-03-18,5164.0,5209.0,5140.0,5194.0,5086.136719,8150.0
1047,2014-03-19,5190.0,5215.0,5129.950195,5199.799805,5091.814941,32595.0
1048,2014-03-20,5213.149902,5244.399902,5195.0,5200.399902,5092.402832,11975.0
1049,2014-03-21,5231.299805,5250.0,5025.0,5084.100098,4978.518555,7149.0
1051,2014-03-24,5141.100098,5310.0,5140.0,5298.950195,5188.907715,60837.0
1052,2014-03-25,5298.700195,5309.899902,5270.25,5276.450195,5166.874022999999,25960.0
1053,2014-03-26,5324.950195,5365.0,5301.0,5351.25,5240.120605,5279.0
1054,2014-03-27,5365.0,5525.0,5290.0,5503.450195,5389.160156,27225.0
